ID,LOCATION,COLLECTION_DATE,EST_SPECIES,MAX_LEAF_WIDTH,SPIKE_GAP,PISTILLATE_LENGTH,PISTILLATE_WIDTH,STAMINATE_LENGTH,RAMET_HEIGHT,ID_OLD
A-F-1,FRENCHIES_ISLAND,2020-07-05,TYPHANG,0.7,3.5,10.9,0.6,16.8,188,FR-AN-01
A-F-2,FRENCHIES_ISLAND,2020-07-05,TYPHANG,0.7,3.2,10.8,0.6,13.9,155,FR-AN-02
A-F-3,FRENCHIES_ISLAND,2020-07-05,TYPHANG,0.6,6.5,11.8,0.5,16.9,195,FR-AN-03
A-F-4,FRENCHIES_ISLAND,2020-07-05,TYPHANG,0.6,4.2,10.2,0.5,16,191,FR-AN-04
A-F-5,FRENCHIES_ISLAND,2020-07-05,TYPHANG,0.9,4,18.3,0.5,22.9,246,FR-AN-05
A-I-1,IONA,2020-07-21,TYPHANG,0.6,4.3,10.3,1.8,12,192,IO-AN-01
A-I-2,IONA,2020-07-21,TYPHANG,0.7,4,6.8,1.3,10.5,163,IO-AN-02
A-I-3,IONA,2020-07-21,TYPHANG,0.9,4.1,10,2.4,14,184,IO-AN-03
A-I-4,IONA,2020-07-21,TYPHANG,0.7,7.2,7.8,1.6,13.8,155,IO-AN-04
A-I-5,IONA,2020-07-21,TYPHANG,0.5,5.6,18,0.8,10.7,168,IO-AN-05
A-S-1,STURGEON_BANK,2020-07-15,TYPHANG,0.9,5.5,13.5,1.3,20.3,156,SB-AN-01
A-S-2,STURGEON_BANK,2020-07-15,TYPHANG,0.5,5,10.6,1.3,14.8,181,SB-AN-02
A-S-3,STURGEON_BANK,2020-07-15,TYPHANG,0.6,4.4,9.6,0.8,12,190,SB-AN-03
A-S-4,STURGEON_BANK,2020-07-15,TYPHANG,0.6,4.3,8.5,0.7,13.6,177,SB-AN-04
A-S-5,STURGEON_BANK,2020-07-15,TYPHANG,0.7,6,12,0.8,16.7,202,SB-AN-05
G-F-1,FRENCHIES_ISLAND,2020-07-05,TYPHGLA,1.3,1.5,19.0,1.3,22.8,230,FR-GL-01
G-F-2,FRENCHIES_ISLAND,2020-07-05,TYPHGLA,1.2,2.5,16.2,1.2,21.3,224,FR-GL-02
G-F-3,FRENCHIES_ISLAND,2020-07-05,TYPHGLA,1.1,2.5,15.9,1,19.6,216,FR-GL-03
G-F-4,FRENCHIES_ISLAND,2020-07-05,TYPHGLA,1.2,0.8,17.3,1,21.3,220,FR-GL-04
G-F-5,FRENCHIES_ISLAND,2020-07-05,TYPHGLA,1.3,2,14.9,0.8,20.4,208,FR-GL-05
G-I-1,IONA,2020-07-21,TYPHGLA,1.2,1.1,18.2,1.7,21.1,225,IO-GL-01
G-I-2,IONA,2020-07-21,TYPHGLA,1.7,1,31.3,2.2,24.5,332,IO-GL-02
G-I-3,IONA,2020-07-21,TYPHGLA,1,2.8,12,1.7,17.4,212,IO-GL-03
G-I-4,IONA,2020-07-21,TYPHGLA,1.3,2.3,16.3,1.7,21.2,227,IO-GL-04
G-I-5,IONA,2020-07-21,TYPHGLA,1.2,3.4,17.5,1.5,22,195,IO-GL-05
G-S-1,STURGEON_BANK,2020-07-15,TYPHGLA,1.4,0.5,17.9,1.1,21.4,200,SB-GL-01
G-S-2,STURGEON_BANK,2020-07-15,TYPHGLA,1.2,0.6,17,1.4,25,236,SB-GL-02
G-S-3,STURGEON_BANK,2020-07-15,TYPHGLA,1.3,2.3,17.8,1.1,26.8,247,SB-GL-03
G-S-4,STURGEON_BANK,2020-07-15,TYPHGLA,1.3,1,17.4,0.9,20.7,210,SB-GL-04
G-S-5,STURGEON_BANK,2020-07-15,TYPHGLA,1.4,2.8,19.7,1.4,30.8,228,SB-GL-05
L-F-1,FRENCHIES_ISLAND,2020-07-05,TYPHLAT,1.5,0,13.3,1.2,16.5,184,FR-LA-01
L-F-2,FRENCHIES_ISLAND,2020-07-05,TYPHLAT,1.6,0.3,12.5,1.1,15.9,197,FR-LA-02
L-F-3,FRENCHIES_ISLAND,2020-07-05,TYPHLAT,1.8,0,16.2,1.3,16.1,208,FR-LA-03
L-F-4,FRENCHIES_ISLAND,2020-07-05,TYPHLAT,1.5,0,19,1.4,14.7,196,FR-LA-04
L-F-5,FRENCHIES_ISLAND,2020-07-05,TYPHLAT,1.6,0.2,15.6,1.1,16.9,204,FR-LA-05
L-I-1,IONA,2020-07-21,TYPHLAT,1.9,0,10,2.8,7,197,IO-LA-01
L-I-2,IONA,2020-07-21,TYPHLAT,1.3,0.3,16.9,2.3,9.7,141,IO-LA-02
L-I-3,IONA,2020-07-21,TYPHLAT,1.5,0,12.5,1.7,12.6,173,IO-LA-03
L-I-4,IONA,2020-07-21,TYPHLAT,1.7,0,13.4,2.3,13.3,192,IO-LA-04
L-I-5,IONA,2020-07-21,TYPHLAT,1.5,0,11.9,3.3,10.9,166,IO-LA-05
L-S-1,STURGEON_BANK,2020-07-15,TYPHLAT,1.7,0,19.2,1.3,14.9,192,SB-LA-01
L-S-2,STURGEON_BANK,2020-07-15,TYPHLAT,1.5,0.1,12.8,1.3,14.5,209,SB-LA-02
L-S-3,STURGEON_BANK,2020-07-15,TYPHLAT,1.6,0,13.7,1.1,11.7,188,SB-LA-03
L-S-4,STURGEON_BANK,2020-07-15,TYPHLAT,2,0,13.9,0.9,14.3,244,SB-LA-04
L-S-5,STURGEON_BANK,2020-07-15,TYPHLAT,2.2,0,19.2,1.7,19.7,240,SB-LA-05
L-S-6,STURGEON_BANK,2020-07-15,TYPHLAT,1.3,3.2,7,1.1,11.5,227,SB-LA-06