EST_SPECIES,MAX_LEAF_WIDTH,SPIKE_GAP,PISTILLATE_LENGTH,PISTILLATE_WIDTH,STAMINATE_LENGTH,RAMET_HEIGHT
GLA,1.3,1.5,1.9,1.3,22.8,230
GLA,1.2,2.5,16.2,1.2,21.3,224
ANG,0.7,3.5,10.9,0.6,16.8,188
ANG,0.7,3.2,10.8,0.6,13.9,155
LAT,1.5,0,13.3,1.2,16.5,184
LAT,1.6,0.3,12.5,1.1,15.9,197
LAT,1.8,0,16.2,1.3,16.1,208
GLA,1.1,2.5,15.9,1,19.6,216
GLA,1.2,0.8,17.3,1,21.3,220
ANG,0.6,6.5,11.8,0.5,16.9,195
ANG,0.6,4.2,10.2,0.5,16,191
LAT,1.5,0,19,1.4,14.7,196
ANG,0.9,4,18.3,0.5,22.9,246
LAT,1.6,0.2,15.6,1.1,16.9,204
GLA,1.3,2,14.9,0.8,20.4,208
ANG,0.9,5.5,13.5,1.3,20.3,156
LAT,1.7,0,19.2,1.3,14.9,192
GLA,1.4,0.5,17.9,1.1,21.4,200
ANG,0.5,5,10.6,1.3,14.8,181
LAT,1.5,0.1,12.8,1.3,14.5,209
LAT,1.6,0,13.7,1.1,11.7,188
LAT,2,0,13.9,0.9,14.3,244
GLA,1.2,0.6,17,1.4,25,236
GLA,1.3,2.3,17.8,1.1,26.8,247
ANG,0.6,4.4,9.6,0.8,12,190
GLA,1.3,1,17.4,0.9,20.7,210
ANG,0.6,4.3,8.5,0.7,13.6,177
LAT,2.2,0,19.2,1.7,19.7,240
ANG,0.7,6,12,0.8,16.7,202
LAT,1.3,3.2,7,1.1,11.5,227
GLA,1.4,2.8,19.7,1.4,30.8,228
LAT,1.9,0,10,2.8,7,197
GLA,1.2,1.1,18.2,1.7,21.1,225
GLA,1.7,1,31.3,2.2,24.5,332
ANG,0.6,4.3,10.3,1.8,12,192
ANG,0.7,4,6.8,1.3,10.5,163
ANG,0.9,4.1,10,2.4,14,184
GLA,1,2.8,12,1.7,17.4,212
ANG,0.7,7.2,7.8,1.6,13.8,155
GLA,1.3,2.3,16.3,1.7,21.2,227
GLA,1.2,3.4,17.5,1.5,22,195
ANG,0.5,5.6,18,0.8,10.7,168
LAT,1.3,0.3,16.9,2.3,9.7,141
LAT,1.5,0,12.5,1.7,12.6,173
LAT,1.7,0,13.4,2.3,13.3,192
LAT,1.5,0,11.9,3.3,10.9,166